2026-08-15 11:30:57,911 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-15 11:31:03,299 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 10s
2026-08-15 11:31:13,560 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 20s
2026-08-15 11:31:33,820 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 40s
2026-08-15 11:32:14,323 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 80s
2026-08-15 11:33:34,705 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 160s
2026-08-15 11:36:15,015 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 11:41:15,313 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 11:46:15,623 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 11:51:15,929 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 11:56:16,229 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:01:16,538 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:06:16,829 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:11:17,128 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:16:17,473 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:21:17,760 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:26:18,064 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:31:18,384 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:36:18,695 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:41:19,021 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:46:19,323 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:51:19,627 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 12:56:19,950 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:01:20,261 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:06:20,582 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:11:20,894 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:16:21,183 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:21:21,489 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:26:21,780 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:31:22,079 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:36:22,366 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:41:22,677 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:46:22,982 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:51:23,284 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 13:56:23,577 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:01:23,876 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:06:24,189 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:11:24,499 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:16:24,786 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:21:25,102 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:26:25,448 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:31:25,775 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:36:26,079 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:41:26,409 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:46:26,733 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:51:27,034 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 14:56:27,337 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 15:01:27,650 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 15:06:27,959 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 15:11:28,267 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 15:16:28,580 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 15:21:28,885 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 503); reintentando en 300s
2026-08-15 15:26:29,123 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 15:31:29,373 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 15:36:29,631 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 15:41:29,891 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 15:46:30,161 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 15:51:30,425 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 15:56:30,684 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:01:30,921 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:06:31,277 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:11:31,687 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:16:31,972 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:21:32,257 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:26:32,559 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:31:32,891 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:36:33,182 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:41:33,512 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:46:33,802 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:51:34,061 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 16:56:34,330 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:01:34,607 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:06:34,928 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:11:35,346 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:16:35,605 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:21:35,900 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:26:36,362 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:31:36,634 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:36:36,892 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:41:37,164 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:46:37,454 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:51:37,706 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 17:56:37,964 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:01:38,228 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:06:38,509 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:11:38,792 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:16:39,041 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:21:39,310 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:26:39,560 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:31:39,824 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:36:40,062 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:41:40,354 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:46:40,623 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:51:40,874 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 18:56:41,131 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:01:41,392 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:06:41,629 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:11:41,877 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:16:42,120 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:21:42,381 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:26:42,672 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:31:42,968 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:36:43,281 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:41:43,575 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:46:43,859 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:51:44,121 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 19:56:44,362 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:01:44,693 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:06:44,949 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:11:45,199 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:16:45,465 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:21:45,723 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:26:45,985 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:31:46,257 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:36:46,519 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:41:46,777 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:46:47,039 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:51:47,313 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 20:56:47,572 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-15 21:01:47,920 INFO Conectado al servidor de impresión
2026-08-15 21:19:59,963 WARNING Conexión perdida (received 1012 (service restart); then sent 1012 (service restart)); reintentando en 5s
2026-08-15 21:20:05,216 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 10s
2026-08-15 21:20:15,454 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 20s
2026-08-15 21:20:35,684 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 40s
2026-08-15 21:21:15,936 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 80s
