2026-08-10 09:49:12,166 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-10 09:49:17,513 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 10s
2026-08-10 09:49:27,754 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 20s
2026-08-10 09:49:47,995 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 40s
2026-08-10 09:50:28,373 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 80s
2026-08-10 09:51:48,691 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 160s
2026-08-10 09:54:28,942 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 09:59:29,196 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:04:29,459 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:09:29,716 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:14:29,983 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:19:30,248 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:24:30,507 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:29:30,760 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:34:31,012 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:39:31,262 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:44:31,506 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:49:31,767 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:54:32,037 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 10:59:32,290 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:04:32,551 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:09:32,836 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:14:33,079 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:19:33,343 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:24:33,607 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:29:33,886 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:34:34,170 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:39:34,431 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:44:34,703 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:49:34,961 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:54:35,241 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 11:59:35,508 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 12:04:35,771 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 12:09:36,047 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 12:14:36,307 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 12:19:36,564 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 12:24:36,831 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 12:29:37,082 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
2026-08-10 12:34:37,347 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 300s
